Lea State,LEA,ID,Year,Category,Sex,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
OK,LONE GROVE,4018090,2015,School days missed due to out-of-school suspension,M,85.00,0.00,0.00,23.00,109.00,280.00,67.00,564.00,111.00,0.00,0.00
OK,LONE GROVE,4018090,2015,School days missed due to out-of-school suspension,F,19.00,0.00,0.00,0.00,20.00,92.00,33.00,164.00,17.00,0.00,0.00
OK,LONE GROVE,4018090,2015,Total enrollment,M,131.00,0.00,0.00,47.00,14.00,527.00,59.00,778.00,154.00,6.00,20.00
OK,LONE GROVE,4018090,2015,Total enrollment,F,122.00,4.00,2.00,38.00,17.00,503.00,68.00,754.00,76.00,2.00,14.00
OK,CHEROKEE,4007410,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,15.00,0.00,15.00,0.00,0.00,0.00
OK,CHEROKEE,4007410,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,12.00,0.00,12.00,0.00,0.00,0.00
OK,CHEROKEE,4007410,2015,Total enrollment,M,6.00,0.00,2.00,24.00,4.00,171.00,12.00,219.00,48.00,2.00,4.00
OK,CHEROKEE,4007410,2015,Total enrollment,F,6.00,0.00,0.00,24.00,4.00,168.00,7.00,209.00,23.00,0.00,7.00
OK,ARDMORE CITY SCHOOLS,4003180,2015,School days missed due to out-of-school suspension,M,67.00,0.00,0.00,133.00,243.00,363.00,176.00,982.00,80.00,82.00,23.00
OK,ARDMORE CITY SCHOOLS,4003180,2015,School days missed due to out-of-school suspension,F,23.00,0.00,0.00,34.00,201.00,106.00,63.00,427.00,46.00,2.00,3.00
OK,ARDMORE CITY SCHOOLS,4003180,2015,Total enrollment,M,153.00,25.00,2.00,246.00,243.00,591.00,258.00,1518.00,300.00,43.00,162.00
OK,ARDMORE CITY SCHOOLS,4003180,2015,Total enrollment,F,171.00,17.00,4.00,240.00,231.00,546.00,258.00,1467.00,168.00,37.00,129.00
OK,HEALDTON,4014130,2015,School days missed due to out-of-school suspension,M,6.00,0.00,0.00,8.00,1.00,106.00,43.00,164.00,11.00,0.00,0.00
OK,HEALDTON,4014130,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,1.00,0.00,102.00,0.00,103.00,0.00,0.00,0.00
OK,HEALDTON,4014130,2015,Total enrollment,M,41.00,0.00,0.00,24.00,6.00,179.00,27.00,277.00,85.00,0.00,2.00
OK,HEALDTON,4014130,2015,Total enrollment,F,42.00,2.00,2.00,33.00,4.00,194.00,42.00,319.00,60.00,0.00,2.00
OK,WATONGA,4031770,2015,School days missed due to out-of-school suspension,M,6.00,0.00,0.00,1.00,1.00,51.00,14.00,73.00,9.00,0.00,0.00
OK,WATONGA,4031770,2015,School days missed due to out-of-school suspension,F,7.00,0.00,0.00,2.00,0.00,12.00,9.00,30.00,7.00,0.00,1.00
OK,WATONGA,4031770,2015,Total enrollment,M,39.00,4.00,0.00,60.00,12.00,201.00,63.00,379.00,54.00,4.00,21.00
OK,WATONGA,4031770,2015,Total enrollment,F,57.00,0.00,0.00,75.00,21.00,201.00,39.00,393.00,42.00,2.00,30.00
OK,COALGATE,4008130,2015,School days missed due to out-of-school suspension,M,4.00,0.00,0.00,0.00,0.00,158.00,0.00,162.00,55.00,0.00,0.00
OK,COALGATE,4008130,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,3.00,0.00,19.00,0.00,22.00,3.00,0.00,0.00
OK,COALGATE,4008130,2015,Total enrollment,M,147.00,4.00,0.00,30.00,4.00,177.00,36.00,398.00,114.00,0.00,0.00
OK,COALGATE,4008130,2015,Total enrollment,F,126.00,0.00,0.00,27.00,2.00,150.00,24.00,329.00,51.00,0.00,0.00
OK,HASKELL,4013950,2015,School days missed due to out-of-school suspension,M,79.00,0.00,0.00,0.00,38.00,92.00,0.00,209.00,80.00,0.00,0.00
OK,HASKELL,4013950,2015,School days missed due to out-of-school suspension,F,6.00,0.00,0.00,0.00,59.00,167.00,0.00,232.00,76.00,0.00,0.00
OK,HASKELL,4013950,2015,Total enrollment,M,96.00,2.00,0.00,12.00,42.00,222.00,39.00,413.00,141.00,9.00,0.00
OK,HASKELL,4013950,2015,Total enrollment,F,117.00,2.00,0.00,15.00,39.00,216.00,33.00,422.00,90.00,6.00,0.00
OK,GORE,4012900,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
OK,GORE,4012900,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
OK,GORE,4012900,2015,Total enrollment,M,138.00,0.00,2.00,6.00,0.00,93.00,9.00,248.00,63.00,0.00,0.00
OK,GORE,4012900,2015,Total enrollment,F,108.00,2.00,2.00,9.00,0.00,78.00,7.00,206.00,45.00,2.00,0.00
OK,GUTHRIE,4013560,2015,School days missed due to out-of-school suspension,M,259.00,0.00,0.00,858.00,419.00,2091.00,326.00,3953.00,1856.00,21.00,39.00
OK,GUTHRIE,4013560,2015,School days missed due to out-of-school suspension,F,109.00,0.00,0.00,3.00,146.00,405.00,77.00,740.00,165.00,1.00,0.00
OK,GUTHRIE,4013560,2015,Total enrollment,M,74.00,10.00,2.00,212.00,140.00,1202.00,213.00,1853.00,339.00,52.00,68.00
OK,GUTHRIE,4013560,2015,Total enrollment,F,53.00,6.00,0.00,210.00,131.00,1139.00,204.00,1743.00,168.00,56.00,75.00
OK,PUTNAM CITY,4025290,2015,School days missed due to out-of-school suspension,M,224.00,26.00,3.00,1883.00,4141.00,2617.00,560.00,9454.00,2550.00,172.00,813.00
OK,PUTNAM CITY,4025290,2015,School days missed due to out-of-school suspension,F,138.00,10.00,8.00,381.00,1783.00,619.00,260.00,3199.00,449.00,7.00,41.00
OK,PUTNAM CITY,4025290,2015,Total enrollment,M,279.00,382.00,25.00,2682.00,2445.00,3171.00,804.00,9788.00,2097.00,125.00,1122.00
OK,PUTNAM CITY,4025290,2015,Total enrollment,F,243.00,355.00,27.00,2514.00,2403.00,3009.00,825.00,9376.00,1140.00,97.00,837.00
OK,MANNFORD,4018840,2015,School days missed due to out-of-school suspension,M,43.00,0.00,0.00,48.00,11.00,879.00,23.00,1004.00,363.00,0.00,0.00
OK,MANNFORD,4018840,2015,School days missed due to out-of-school suspension,F,16.00,0.00,0.00,0.00,0.00,344.00,0.00,360.00,144.00,0.00,0.00
