Lea State,LEA,ID,Year,Category,Sex,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
OR,Philomath SD 17J,4109600,2015,School days missed due to out-of-school suspension,M,0.00,10.00,0.00,6.00,0.00,38.00,0.00,54.00,2.00,0.00,0.00
OR,Philomath SD 17J,4109600,2015,School days missed due to out-of-school suspension,F,2.00,0.00,0.00,3.00,0.00,30.00,0.00,35.00,13.00,0.00,0.00
OR,Philomath SD 17J,4109600,2015,Total enrollment,M,11.00,4.00,0.00,78.00,4.00,660.00,36.00,793.00,135.00,28.00,17.00
OR,Philomath SD 17J,4109600,2015,Total enrollment,F,9.00,11.00,0.00,55.00,0.00,696.00,34.00,805.00,68.00,26.00,10.00
OR,Lebanon Community SD 9,4107380,2015,School days missed due to out-of-school suspension,M,13.00,2.00,8.00,30.00,10.00,570.00,47.00,680.00,212.00,0.00,1.00
OR,Lebanon Community SD 9,4107380,2015,School days missed due to out-of-school suspension,F,9.00,0.00,0.00,3.00,0.00,133.00,3.00,148.00,27.00,0.00,0.00
OR,Lebanon Community SD 9,4107380,2015,Total enrollment,M,30.00,27.00,11.00,240.00,13.00,1803.00,123.00,2247.00,456.00,50.00,32.00
OR,Lebanon Community SD 9,4107380,2015,Total enrollment,F,32.00,21.00,9.00,210.00,9.00,1707.00,105.00,2093.00,222.00,23.00,24.00
OR,West Linn-Wilsonville SD 3J,4113170,2015,School days missed due to out-of-school suspension,M,25.00,50.00,10.00,335.00,125.00,1460.00,80.00,2085.00,670.00,90.00,60.00
OR,West Linn-Wilsonville SD 3J,4113170,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,60.00,15.00,575.00,100.00,750.00,215.00,15.00,0.00
OR,West Linn-Wilsonville SD 3J,4113170,2015,Total enrollment,M,23.00,203.00,24.00,593.00,50.00,3725.00,329.00,4947.00,616.00,92.00,157.00
OR,West Linn-Wilsonville SD 3J,4113170,2015,Total enrollment,F,21.00,200.00,21.00,476.00,32.00,3584.00,353.00,4687.00,286.00,65.00,115.00
OR,Greater Albany Public SD 8J,4101120,2015,School days missed due to out-of-school suspension,M,5.00,0.00,0.00,163.00,2.00,850.00,90.00,1110.00,441.00,0.00,12.00
OR,Greater Albany Public SD 8J,4101120,2015,School days missed due to out-of-school suspension,F,1.00,0.00,1.00,30.00,5.00,254.00,2.00,293.00,46.00,0.00,0.00
OR,Greater Albany Public SD 8J,4101120,2015,Total enrollment,M,36.00,40.00,14.00,978.00,30.00,3468.00,294.00,4860.00,822.00,0.00,282.00
OR,Greater Albany Public SD 8J,4101120,2015,Total enrollment,F,42.00,48.00,8.00,960.00,48.00,3351.00,270.00,4727.00,440.00,0.00,232.00
OR,Glide SD 12,4105670,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,1.00,0.00,35.00,0.00,36.00,4.00,0.00,0.00
OR,Glide SD 12,4105670,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,10.00,0.00,10.00,0.00,0.00,0.00
OR,Glide SD 12,4105670,2015,Total enrollment,M,7.00,0.00,0.00,21.00,0.00,333.00,9.00,370.00,57.00,12.00,2.00
OR,Glide SD 12,4105670,2015,Total enrollment,F,6.00,0.00,0.00,21.00,2.00,291.00,15.00,335.00,36.00,6.00,4.00
OR,South Lane SD 45J3,4111580,2015,School days missed due to out-of-school suspension,M,2.00,5.00,0.00,6.00,0.00,151.00,0.00,164.00,61.00,0.00,1.00
OR,South Lane SD 45J3,4111580,2015,School days missed due to out-of-school suspension,F,0.00,1.00,0.00,2.00,0.00,59.00,0.00,62.00,12.00,0.00,0.00
OR,South Lane SD 45J3,4111580,2015,Total enrollment,M,10.00,26.00,2.00,169.00,11.00,1181.00,26.00,1425.00,294.00,34.00,39.00
OR,South Lane SD 45J3,4111580,2015,Total enrollment,F,26.00,16.00,2.00,149.00,10.00,1118.00,25.00,1346.00,152.00,22.00,30.00
OR,McMinnville SD 40,4108010,2015,School days missed due to out-of-school suspension,M,3.00,0.00,8.00,1309.00,37.00,595.00,10.00,1962.00,301.00,4.00,217.00
OR,McMinnville SD 40,4108010,2015,School days missed due to out-of-school suspension,F,15.00,12.00,0.00,239.00,1.00,174.00,0.00,441.00,65.00,0.00,19.00
OR,McMinnville SD 40,4108010,2015,Total enrollment,M,40.00,31.00,19.00,1215.00,36.00,2163.00,23.00,3527.00,528.00,108.00,486.00
OR,McMinnville SD 40,4108010,2015,Total enrollment,F,49.00,42.00,31.00,1137.00,34.00,2052.00,19.00,3364.00,270.00,49.00,465.00
OR,Klamath County SD,4107020,2015,School days missed due to out-of-school suspension,M,110.00,0.00,1.00,148.00,38.00,535.00,50.00,882.00,369.00,29.00,78.00
OR,Klamath County SD,4107020,2015,School days missed due to out-of-school suspension,F,21.00,0.00,0.00,43.00,1.00,121.00,9.00,195.00,54.00,0.00,22.00
OR,Klamath County SD,4107020,2015,Total enrollment,M,204.00,41.00,16.00,648.00,36.00,2150.00,178.00,3273.00,525.00,50.00,185.00
OR,Klamath County SD,4107020,2015,Total enrollment,F,199.00,29.00,14.00,591.00,29.00,1934.00,191.00,2987.00,272.00,34.00,126.00
OR,Bend-LaPine Administrative SD 1,4101980,2015,School days missed due to out-of-school suspension,M,28.00,3.00,3.00,204.00,19.00,1252.00,38.00,1547.00,422.00,0.00,40.00
OR,Bend-LaPine Administrative SD 1,4101980,2015,School days missed due to out-of-school suspension,F,5.00,0.00,1.00,55.00,0.00,389.00,26.00,476.00,52.00,0.00,6.00
OR,Bend-LaPine Administrative SD 1,4101980,2015,Total enrollment,M,69.00,93.00,33.00,992.00,70.00,7502.00,209.00,8968.00,1240.00,0.00,334.00
OR,Bend-LaPine Administrative SD 1,4101980,2015,Total enrollment,F,52.00,141.00,35.00,953.00,52.00,6809.00,204.00,8246.00,643.00,0.00,307.00
OR,Mt Angel SD 91,4108550,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,2.00,0.00,2.00,0.00,4.00,0.00,0.00,1.00
