Lea State,LEA,ID,Year,Category,Sex,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
PA,Highlands SD,4211880,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,42.00,138.00,4.00,184.00,78.00,0.00,0.00
PA,Highlands SD,4211880,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,19.00,29.00,10.00,58.00,11.00,0.00,0.00
PA,Highlands SD,4211880,2015,Total enrollment,M,10.00,10.00,2.00,22.00,127.00,1123.00,94.00,1388.00,302.00,19.00,2.00
PA,Highlands SD,4211880,2015,Total enrollment,F,4.00,7.00,0.00,19.00,91.00,1048.00,70.00,1239.00,143.00,20.00,4.00
PA,Hollidaysburg Area SD,4211940,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,12.00,3.00,278.00,6.00,299.00,158.00,2.00,0.00
PA,Hollidaysburg Area SD,4211940,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,134.00,0.00,134.00,26.00,0.00,0.00
PA,Hollidaysburg Area SD,4211940,2015,Total enrollment,M,2.00,28.00,2.00,22.00,25.00,1693.00,19.00,1791.00,272.00,25.00,6.00
PA,Hollidaysburg Area SD,4211940,2015,Total enrollment,F,0.00,28.00,2.00,28.00,23.00,1531.00,16.00,1628.00,92.00,12.00,9.00
PA,Hopewell Area SD,4212030,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,10.00,75.00,4.00,89.00,34.00,0.00,0.00
PA,Hopewell Area SD,4212030,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,8.00,25.00,0.00,33.00,3.00,20.00,0.00
PA,Hopewell Area SD,4212030,2015,Total enrollment,M,0.00,6.00,0.00,11.00,49.00,1011.00,31.00,1108.00,192.00,48.00,0.00
PA,Hopewell Area SD,4212030,2015,Total enrollment,F,2.00,15.00,4.00,11.00,36.00,942.00,19.00,1029.00,98.00,23.00,4.00
PA,Huntingdon Area SD,4212090,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,13.00,158.00,9.00,180.00,46.00,0.00,0.00
PA,Huntingdon Area SD,4212090,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,5.00,46.00,0.00,51.00,28.00,0.00,0.00
PA,Huntingdon Area SD,4212090,2015,Total enrollment,M,0.00,8.00,5.00,2.00,13.00,950.00,20.00,998.00,232.00,9.00,8.00
PA,Huntingdon Area SD,4212090,2015,Total enrollment,F,0.00,11.00,2.00,11.00,11.00,929.00,17.00,981.00,127.00,8.00,11.00
PA,Indiana Area SD,4212150,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,18.00,3.00,21.00,4.00,0.00,0.00
