Lea State,LEA,ID,Year,Category,Sex,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
RI,South Kingstown,4401020,2015,School days missed due to out-of-school suspension,M,48.00,0.00,0.00,3.00,27.00,101.00,40.00,219.00,65.00,5.00,0.00
RI,South Kingstown,4401020,2015,School days missed due to out-of-school suspension,F,24.00,0.00,0.00,0.00,0.00,16.00,2.00,42.00,3.00,21.00,0.00
RI,South Kingstown,4401020,2015,Total enrollment,M,50.00,32.00,6.00,67.00,36.00,1405.00,76.00,1672.00,203.00,132.00,17.00
RI,South Kingstown,4401020,2015,Total enrollment,F,49.00,34.00,6.00,73.00,32.00,1312.00,61.00,1567.00,77.00,77.00,14.00
RI,Central Falls,4400120,2015,School days missed due to out-of-school suspension,M,1.00,0.00,0.00,151.00,22.00,9.00,10.00,193.00,80.00,8.00,72.00
RI,Central Falls,4400120,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,52.00,15.00,2.00,3.00,72.00,18.00,2.00,9.00
RI,Central Falls,4400120,2015,Total enrollment,M,10.00,4.00,8.00,936.00,180.00,129.00,43.00,1310.00,330.00,32.00,412.00
RI,Central Falls,4400120,2015,Total enrollment,F,10.00,4.00,6.00,864.00,141.00,117.00,48.00,1190.00,162.00,13.00,367.00
RI,North Kingstown,4400750,2015,School days missed due to out-of-school suspension,M,0.00,2.00,0.00,7.00,5.00,84.00,10.00,108.00,20.00,8.00,0.00
RI,North Kingstown,4400750,2015,School days missed due to out-of-school suspension,F,15.00,0.00,0.00,13.00,0.00,27.00,4.00,59.00,12.00,0.00,2.00
RI,North Kingstown,4400750,2015,Total enrollment,M,20.00,44.00,2.00,100.00,32.00,1738.00,67.00,2003.00,275.00,118.00,65.00
RI,North Kingstown,4400750,2015,Total enrollment,F,17.00,36.00,2.00,79.00,23.00,1741.00,55.00,1953.00,149.00,77.00,47.00
RI,Exeter-West Greenwich,4400360,2015,School days missed due to out-of-school suspension,M,0.00,3.00,0.00,24.00,13.00,132.00,0.00,172.00,48.00,0.00,3.00
RI,Exeter-West Greenwich,4400360,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,1.00,0.00,35.00,0.00,36.00,4.00,0.00,1.00
