Lea State,LEA,ID,Year,Category,Sex,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
SD,Montrose School District 43-2,4648780,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SD,Montrose School District 43-2,4648780,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SD,Montrose School District 43-2,4648780,2015,Total enrollment,M,0.00,0.00,0.00,2.00,4.00,109.00,2.00,117.00,10.00,0.00,2.00
SD,Montrose School District 43-2,4648780,2015,Total enrollment,F,0.00,0.00,0.00,4.00,2.00,131.00,2.00,139.00,17.00,0.00,0.00
SD,Britton-Hecla School District 45-4,4600041,2015,School days missed due to out-of-school suspension,M,4.00,0.00,0.00,0.00,8.00,9.00,0.00,21.00,16.00,0.00,0.00
SD,Britton-Hecla School District 45-4,4600041,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,5.00,0.00,5.00,5.00,0.00,0.00
SD,Britton-Hecla School District 45-4,4600041,2015,Total enrollment,M,4.00,4.00,2.00,9.00,6.00,210.00,5.00,240.00,42.00,0.00,15.00
SD,Britton-Hecla School District 45-4,4600041,2015,Total enrollment,F,9.00,0.00,0.00,4.00,2.00,183.00,2.00,200.00,18.00,0.00,12.00
SD,Yankton School District 63-3,4680430,2015,School days missed due to out-of-school suspension,M,4.00,0.00,0.00,1.00,0.00,99.00,0.00,104.00,11.00,0.00,0.00
SD,Yankton School District 63-3,4680430,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,53.00,0.00,53.00,0.00,0.00,0.00
SD,Yankton School District 63-3,4680430,2015,Total enrollment,M,72.00,9.00,0.00,81.00,24.00,1290.00,18.00,1494.00,288.00,0.00,18.00
SD,Yankton School District 63-3,4680430,2015,Total enrollment,F,57.00,13.00,0.00,81.00,24.00,1122.00,30.00,1327.00,162.00,0.00,22.00
SD,Faulkton Area Schools 24-4,4624030,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SD,Faulkton Area Schools 24-4,4624030,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SD,Faulkton Area Schools 24-4,4624030,2015,Total enrollment,M,4.00,0.00,0.00,0.00,4.00,162.00,0.00,170.00,8.00,0.00,12.00
SD,Faulkton Area Schools 24-4,4624030,2015,Total enrollment,F,7.00,0.00,0.00,0.00,4.00,150.00,0.00,161.00,4.00,0.00,12.00
SD,West Central School District 49-7,4631710,2015,School days missed due to out-of-school suspension,M,1.00,0.00,0.00,0.00,0.00,8.00,0.00,9.00,1.00,0.00,0.00
