Lea State,LEA,ID,Year,Category,Sex,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
TN,Union City Schools,4704260,2015,School days missed due to out-of-school suspension,M,0.00,3.00,0.00,0.00,387.00,109.00,0.00,499.00,123.00,0.00,0.00
TN,Union City Schools,4704260,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,2.00,85.00,6.00,0.00,93.00,5.00,0.00,0.00
TN,Union City Schools,4704260,2015,Total enrollment,M,4.00,7.00,0.00,81.00,318.00,423.00,0.00,833.00,120.00,6.00,39.00
TN,Union City Schools,4704260,2015,Total enrollment,F,2.00,2.00,0.00,99.00,327.00,345.00,0.00,775.00,60.00,4.00,33.00
TN,Marion County,4702640,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,11.00,178.00,0.00,189.00,44.00,0.00,0.00
TN,Marion County,4702640,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,48.00,78.00,6.00,132.00,9.00,0.00,0.00
TN,Marion County,4702640,2015,Total enrollment,M,2.00,12.00,0.00,49.00,105.00,2021.00,27.00,2216.00,288.00,30.00,34.00
TN,Marion County,4702640,2015,Total enrollment,F,0.00,8.00,2.00,50.00,122.00,1826.00,21.00,2029.00,156.00,21.00,25.00
TN,Hickman County,4701860,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,3.00,113.00,0.00,116.00,34.00,2.00,0.00
TN,Hickman County,4701860,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,36.00,0.00,36.00,16.00,0.00,0.00
TN,Hickman County,4701860,2015,Total enrollment,M,9.00,8.00,0.00,34.00,35.00,1711.00,22.00,1819.00,389.00,19.00,15.00
TN,Hickman County,4701860,2015,Total enrollment,F,4.00,12.00,6.00,29.00,25.00,1495.00,40.00,1611.00,236.00,9.00,14.00
TN,Lake County,4702280,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,78.00,109.00,0.00,187.00,50.00,0.00,0.00
TN,Lake County,4702280,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,60.00,20.00,0.00,80.00,30.00,0.00,0.00
TN,Lake County,4702280,2015,Total enrollment,M,2.00,2.00,0.00,16.00,120.00,303.00,0.00,443.00,117.00,2.00,0.00
TN,Lake County,4702280,2015,Total enrollment,F,0.00,0.00,0.00,9.00,102.00,249.00,0.00,360.00,66.00,2.00,0.00
TN,Meigs County,4702910,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,1.00,58.00,0.00,59.00,9.00,0.00,0.00
TN,Meigs County,4702910,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,1.00,8.00,0.00,9.00,2.00,0.00,0.00
TN,Meigs County,4702910,2015,Total enrollment,M,0.00,0.00,4.00,14.00,6.00,863.00,7.00,894.00,202.00,9.00,2.00
