Lea State,LEA,ID,Year,Category,Sex,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
TX,BOSQUEVILLE ISD,4810910,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,1.00,0.00,2.00,0.00,3.00,2.00,1.00,1.00
TX,BOSQUEVILLE ISD,4810910,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TX,BOSQUEVILLE ISD,4810910,2015,Total enrollment,M,2.00,2.00,4.00,75.00,15.00,231.00,7.00,336.00,42.00,27.00,7.00
TX,BOSQUEVILLE ISD,4810910,2015,Total enrollment,F,0.00,0.00,2.00,75.00,18.00,225.00,4.00,324.00,20.00,12.00,10.00
TX,BOVINA ISD,4810950,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TX,BOVINA ISD,4810950,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TX,BOVINA ISD,4810950,2015,Total enrollment,M,0.00,0.00,0.00,219.00,0.00,9.00,0.00,228.00,14.00,4.00,105.00
TX,BOVINA ISD,4810950,2015,Total enrollment,F,0.00,0.00,0.00,225.00,2.00,21.00,4.00,252.00,14.00,2.00,75.00
TX,BOWIE ISD,4810990,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,2.00,0.00,21.00,0.00,23.00,11.00,5.00,1.00
TX,BOWIE ISD,4810990,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,7.00,0.00,7.00,1.00,6.00,0.00
TX,BOWIE ISD,4810990,2015,Total enrollment,M,4.00,8.00,0.00,143.00,4.00,686.00,26.00,871.00,106.00,113.00,41.00
TX,BOWIE ISD,4810990,2015,Total enrollment,F,6.00,6.00,0.00,140.00,6.00,650.00,26.00,834.00,58.00,62.00,50.00
TX,BOYD ISD,4811010,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,6.00,0.00,21.00,2.00,29.00,13.00,1.00,1.00
TX,BOYD ISD,4811010,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,8.00,0.00,8.00,0.00,0.00,0.00
TX,BOYD ISD,4811010,2015,Total enrollment,M,7.00,4.00,0.00,83.00,4.00,509.00,20.00,627.00,55.00,89.00,29.00
TX,BOYD ISD,4811010,2015,Total enrollment,F,11.00,0.00,0.00,92.00,6.00,440.00,17.00,566.00,18.00,50.00,20.00
