Lea State,LEA,ID,Year,Category,Sex,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
UT,WAYNE DISTRICT,4901170,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,7.00,0.00,7.00,0.00,0.00,0.00
UT,WAYNE DISTRICT,4901170,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
UT,WAYNE DISTRICT,4901170,2015,Total enrollment,M,4.00,8.00,6.00,14.00,2.00,227.00,0.00,261.00,46.00,0.00,4.00
UT,WAYNE DISTRICT,4901170,2015,Total enrollment,F,4.00,2.00,2.00,6.00,0.00,236.00,2.00,252.00,24.00,0.00,4.00
UT,GRANITE DISTRICT,4900360,2015,School days missed due to out-of-school suspension,M,152.00,65.00,332.00,2437.00,684.00,2497.00,0.00,6167.00,1716.00,0.00,2225.00
UT,GRANITE DISTRICT,4900360,2015,School days missed due to out-of-school suspension,F,37.00,39.00,119.00,1057.00,96.00,693.00,0.00,2041.00,379.00,0.00,852.00
UT,GRANITE DISTRICT,4900360,2015,Total enrollment,M,613.00,1696.00,1509.00,12104.00,1482.00,31043.00,186.00,48633.00,6453.00,359.00,11433.00
UT,GRANITE DISTRICT,4900360,2015,Total enrollment,F,567.00,1583.00,1480.00,11147.00,1284.00,29690.00,178.00,45929.00,3548.00,238.00,10788.00
UT,OGDEN CITY DISTRICT,4900720,2015,School days missed due to out-of-school suspension,M,25.00,2.00,13.00,956.00,55.00,786.00,49.00,1886.00,320.00,28.00,407.00
UT,OGDEN CITY DISTRICT,4900720,2015,School days missed due to out-of-school suspension,F,10.00,0.00,4.00,336.00,40.00,187.00,9.00,586.00,49.00,4.00,128.00
UT,OGDEN CITY DISTRICT,4900720,2015,Total enrollment,M,124.00,60.00,32.00,3299.00,126.00,2747.00,185.00,6573.00,1062.00,69.00,1919.00
UT,OGDEN CITY DISTRICT,4900720,2015,Total enrollment,F,123.00,41.00,30.00,3048.00,88.00,2594.00,184.00,6108.00,554.00,63.00,1626.00
UT,SEVIER DISTRICT,4900930,2015,School days missed due to out-of-school suspension,M,1.00,0.00,0.00,13.00,4.00,130.00,0.00,148.00,30.00,0.00,0.00
UT,SEVIER DISTRICT,4900930,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,1.00,1.00,53.00,0.00,55.00,5.00,0.00,0.00
UT,SEVIER DISTRICT,4900930,2015,Total enrollment,M,71.00,8.00,12.00,118.00,24.00,2242.00,5.00,2480.00,421.00,227.00,31.00
UT,SEVIER DISTRICT,4900930,2015,Total enrollment,F,85.00,14.00,18.00,108.00,17.00,2083.00,2.00,2327.00,228.00,179.00,36.00
UT,CACHE DISTRICT,4900120,2015,School days missed due to out-of-school suspension,M,0.00,30.00,0.00,30.00,8.00,71.00,2.00,141.00,34.00,2.00,45.00
UT,CACHE DISTRICT,4900120,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,2.00,49.00,3.00,54.00,3.00,0.00,2.00
UT,CACHE DISTRICT,4900120,2015,Total enrollment,M,27.00,56.00,52.00,784.00,65.00,7801.00,169.00,8954.00,1718.00,74.00,252.00
UT,CACHE DISTRICT,4900120,2015,Total enrollment,F,22.00,64.00,43.00,724.00,55.00,7444.00,149.00,8501.00,995.00,44.00,219.00
UT,BOX ELDER DISTRICT,4900090,2015,School days missed due to out-of-school suspension,M,1.00,1.00,0.00,67.00,4.00,152.00,2.00,227.00,29.00,4.00,28.00
UT,BOX ELDER DISTRICT,4900090,2015,School days missed due to out-of-school suspension,F,1.00,0.00,0.00,21.00,0.00,71.00,1.00,94.00,5.00,1.00,3.00
UT,BOX ELDER DISTRICT,4900090,2015,Total enrollment,M,46.00,36.00,32.00,630.00,42.00,5125.00,76.00,5987.00,1048.00,54.00,190.00
UT,BOX ELDER DISTRICT,4900090,2015,Total enrollment,F,38.00,43.00,33.00,597.00,45.00,4831.00,58.00,5645.00,619.00,39.00,160.00
UT,SALT LAKE DISTRICT,4900870,2015,School days missed due to out-of-school suspension,M,0.00,10.00,33.00,432.00,65.00,169.00,20.00,729.00,19.00,0.00,36.00
UT,SALT LAKE DISTRICT,4900870,2015,School days missed due to out-of-school suspension,F,0.00,0.00,10.00,83.00,14.00,30.00,13.00,150.00,0.00,0.00,0.00
UT,SALT LAKE DISTRICT,4900870,2015,Total enrollment,M,206.00,565.00,579.00,5001.00,540.00,5280.00,466.00,12637.00,2121.00,69.00,2503.00
UT,SALT LAKE DISTRICT,4900870,2015,Total enrollment,F,166.00,580.00,552.00,4836.00,475.00,4866.00,440.00,11915.00,1170.00,38.00,2215.00
UT,LOGAN CITY DISTRICT,4900510,2015,School days missed due to out-of-school suspension,M,5.00,5.00,0.00,115.00,0.00,216.00,0.00,341.00,169.00,0.00,27.00
UT,LOGAN CITY DISTRICT,4900510,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,75.00,0.00,7.00,0.00,82.00,12.00,0.00,2.00
UT,LOGAN CITY DISTRICT,4900510,2015,Total enrollment,M,52.00,120.00,44.00,879.00,63.00,2055.00,54.00,3267.00,657.00,8.00,388.00
UT,LOGAN CITY DISTRICT,4900510,2015,Total enrollment,F,32.00,109.00,35.00,852.00,53.00,1845.00,58.00,2984.00,330.00,2.00,328.00
UT,MILLARD DISTRICT,4900540,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,14.00,0.00,46.00,0.00,60.00,14.00,0.00,4.00
UT,MILLARD DISTRICT,4900540,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,1.00,0.00,5.00,0.00,6.00,0.00,0.00,0.00
UT,MILLARD DISTRICT,4900540,2015,Total enrollment,M,10.00,13.00,2.00,264.00,4.00,1154.00,14.00,1461.00,313.00,6.00,109.00
UT,MILLARD DISTRICT,4900540,2015,Total enrollment,F,10.00,16.00,4.00,227.00,4.00,1190.00,29.00,1480.00,163.00,6.00,61.00
UT,SAN JUAN DISTRICT,4900900,2015,School days missed due to out-of-school suspension,M,9.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,0.00,0.00
UT,SAN JUAN DISTRICT,4900900,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
UT,SAN JUAN DISTRICT,4900900,2015,Total enrollment,M,886.00,8.00,2.00,67.00,13.00,684.00,191.00,1851.00,292.00,10.00,451.00
UT,SAN JUAN DISTRICT,4900900,2015,Total enrollment,F,880.00,4.00,6.00,65.00,4.00,599.00,39.00,1597.00,152.00,11.00,421.00
UT,GRAND DISTRICT,4900330,2015,School days missed due to out-of-school suspension,M,7.00,0.00,0.00,16.00,0.00,44.00,0.00,67.00,15.00,0.00,1.00
UT,GRAND DISTRICT,4900330,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,5.00,0.00,23.00,0.00,28.00,15.00,0.00,0.00
UT,GRAND DISTRICT,4900330,2015,Total enrollment,M,54.00,7.00,4.00,128.00,6.00,560.00,9.00,768.00,172.00,0.00,60.00
UT,GRAND DISTRICT,4900330,2015,Total enrollment,F,35.00,6.00,4.00,134.00,2.00,557.00,4.00,742.00,97.00,0.00,48.00
UT,PARK CITY DISTRICT,4900750,2015,School days missed due to out-of-school suspension,M,0.00,10.00,0.00,39.00,0.00,87.00,1.00,137.00,18.00,1.00,29.00
UT,PARK CITY DISTRICT,4900750,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,12.00,0.00,13.00,0.00,25.00,3.00,0.00,10.00
UT,PARK CITY DISTRICT,4900750,2015,Total enrollment,M,4.00,35.00,9.00,511.00,18.00,1948.00,43.00,2568.00,206.00,59.00,236.00
UT,PARK CITY DISTRICT,4900750,2015,Total enrollment,F,4.00,52.00,8.00,484.00,14.00,1786.00,46.00,2394.00,115.00,43.00,209.00
UT,WASATCH DISTRICT,4901110,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,11.00,0.00,38.00,3.00,52.00,5.00,0.00,1.00
UT,WASATCH DISTRICT,4901110,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,3.00,0.00,16.00,0.00,19.00,0.00,0.00,0.00
UT,WASATCH DISTRICT,4901110,2015,Total enrollment,M,10.00,23.00,4.00,650.00,14.00,2656.00,33.00,3390.00,451.00,51.00,260.00
UT,WASATCH DISTRICT,4901110,2015,Total enrollment,F,11.00,23.00,10.00,572.00,13.00,2441.00,38.00,3108.00,280.00,40.00,221.00
UT,UTAH SCHOOLS FOR DEAF & BLIND,4900069,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
UT,UTAH SCHOOLS FOR DEAF & BLIND,4900069,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
UT,UTAH SCHOOLS FOR DEAF & BLIND,4900069,2015,Total enrollment,M,2.00,8.00,6.00,51.00,7.00,105.00,4.00,183.00,168.00,0.00,0.00
UT,UTAH SCHOOLS FOR DEAF & BLIND,4900069,2015,Total enrollment,F,2.00,12.00,8.00,28.00,4.00,90.00,6.00,150.00,147.00,0.00,0.00
UT,TOOELE DISTRICT,4901050,2015,School days missed due to out-of-school suspension,M,11.00,1.00,14.00,299.00,36.00,618.00,1.00,980.00,398.00,0.00,28.00
UT,TOOELE DISTRICT,4901050,2015,School days missed due to out-of-school suspension,F,12.00,1.00,0.00,36.00,0.00,180.00,4.00,233.00,34.00,0.00,7.00
UT,TOOELE DISTRICT,4901050,2015,Total enrollment,M,66.00,52.00,91.00,1007.00,80.00,6139.00,42.00,7477.00,1441.00,58.00,245.00
UT,TOOELE DISTRICT,4901050,2015,Total enrollment,F,60.00,44.00,72.00,935.00,82.00,5635.00,30.00,6858.00,747.00,77.00,196.00
UT,UINTAH DISTRICT,4901080,2015,School days missed due to out-of-school suspension,M,17.00,0.00,7.00,12.00,1.00,83.00,0.00,120.00,18.00,0.00,0.00
UT,UINTAH DISTRICT,4901080,2015,School days missed due to out-of-school suspension,F,4.00,0.00,0.00,8.00,0.00,17.00,0.00,29.00,4.00,0.00,0.00
UT,UINTAH DISTRICT,4901080,2015,Total enrollment,M,286.00,13.00,19.00,343.00,14.00,2817.00,52.00,3544.00,637.00,32.00,117.00
UT,UINTAH DISTRICT,4901080,2015,Total enrollment,F,310.00,17.00,15.00,325.00,10.00,2604.00,66.00,3347.00,322.00,29.00,96.00
UT,DAGGETT DISTRICT,4900180,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
UT,DAGGETT DISTRICT,4900180,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
UT,DAGGETT DISTRICT,4900180,2015,Total enrollment,M,4.00,0.00,0.00,4.00,0.00,113.00,4.00,125.00,17.00,2.00,0.00
UT,DAGGETT DISTRICT,4900180,2015,Total enrollment,F,2.00,0.00,0.00,6.00,0.00,92.00,2.00,102.00,7.00,2.00,0.00
UT,AMERICAN PREPARATORY ACADEMY--LEA,4900005,2015,School days missed due to out-of-school suspension,M,0.00,16.00,2.00,129.00,10.00,59.00,4.00,220.00,17.00,4.00,61.00
UT,AMERICAN PREPARATORY ACADEMY--LEA,4900005,2015,School days missed due to out-of-school suspension,F,0.00,1.00,1.00,32.00,2.00,13.00,0.00,49.00,7.00,0.00,20.00
UT,AMERICAN PREPARATORY ACADEMY--LEA,4900005,2015,Total enrollment,M,6.00,154.00,33.00,580.00,86.00,871.00,29.00,1759.00,287.00,28.00,230.00
UT,AMERICAN PREPARATORY ACADEMY--LEA,4900005,2015,Total enrollment,F,2.00,184.00,34.00,673.00,79.00,868.00,32.00,1872.00,179.00,16.00,211.00
UT,NORTH SANPETE DISTRICT,4900660,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,3.00,0.00,44.00,0.00,47.00,1.00,8.00,0.00
UT,NORTH SANPETE DISTRICT,4900660,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00
