Lea State,LEA,ID,Year,Category,Sex,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
VA,NORTHERN NECK REGIONAL ALTERNATIVE ED,5100097,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,30.00,12.00,9.00,51.00,17.00,0.00,0.00
VA,NORTHERN NECK REGIONAL ALTERNATIVE ED,5100097,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,25.00,5.00,30.00,0.00,5.00,0.00
VA,NORTHERN NECK REGIONAL ALTERNATIVE ED,5100097,2015,Total enrollment,M,0.00,0.00,0.00,0.00,17.00,8.00,2.00,27.00,4.00,0.00,0.00
VA,NORTHERN NECK REGIONAL ALTERNATIVE ED,5100097,2015,Total enrollment,F,0.00,0.00,0.00,0.00,2.00,5.00,2.00,9.00,0.00,2.00,0.00
VA,KING GEO CO PBLC SCHS,5102100,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,37.00,971.00,2014.00,304.00,3326.00,276.00,72.00,0.00
VA,KING GEO CO PBLC SCHS,5102100,2015,School days missed due to out-of-school suspension,F,6.00,0.00,0.00,70.00,111.00,99.00,9.00,295.00,178.00,18.00,0.00
VA,KING GEO CO PBLC SCHS,5102100,2015,Total enrollment,M,11.00,28.00,2.00,121.00,433.00,1522.00,151.00,2268.00,344.00,91.00,16.00
VA,KING GEO CO PBLC SCHS,5102100,2015,Total enrollment,F,16.00,25.00,4.00,130.00,409.00,1420.00,151.00,2155.00,176.00,43.00,13.00
VA,GREENE CO PBLC SCHS,5101710,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,31.00,47.00,668.00,119.00,865.00,181.00,47.00,0.00
VA,GREENE CO PBLC SCHS,5101710,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,10.00,27.00,173.00,20.00,230.00,36.00,0.00,0.00
