Lea State,LEA,ID,Year,Category,Sex,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
VT,Springfield School District,5007530,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,10.00,3.00,202.00,0.00,215.00,26.00,34.00,0.00
VT,Springfield School District,5007530,2015,School days missed due to out-of-school suspension,F,1.00,0.00,0.00,0.00,6.00,85.00,1.00,93.00,6.00,20.00,0.00
VT,Springfield School District,5007530,2015,Total enrollment,M,2.00,4.00,0.00,11.00,15.00,569.00,6.00,607.00,82.00,71.00,0.00
VT,Springfield School District,5007530,2015,Total enrollment,F,2.00,8.00,4.00,8.00,23.00,593.00,11.00,649.00,73.00,59.00,4.00
VT,Mount Mansfield Modified USD #401B,5000388,2015,School days missed due to out-of-school suspension,M,0.00,5.00,0.00,5.00,0.00,89.00,0.00,99.00,5.00,0.00,0.00
VT,Mount Mansfield Modified USD #401B,5000388,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,9.00,2.00,11.00,4.00,0.00,0.00
VT,Mount Mansfield Modified USD #401B,5000388,2015,Total enrollment,M,4.00,4.00,0.00,18.00,13.00,753.00,30.00,822.00,120.00,102.00,2.00
VT,Mount Mansfield Modified USD #401B,5000388,2015,Total enrollment,F,0.00,12.00,0.00,12.00,4.00,693.00,24.00,745.00,63.00,60.00,0.00
VT,Bennington Incorporated School District,5002130,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,2.00,67.00,1.00,70.00,6.00,0.00,0.00
VT,Bennington Incorporated School District,5002130,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,12.00,1.00,13.00,4.00,0.00,0.00
VT,Bennington Incorporated School District,5002130,2015,Total enrollment,M,0.00,6.00,2.00,9.00,9.00,507.00,12.00,545.00,44.00,33.00,6.00
VT,Bennington Incorporated School District,5002130,2015,Total enrollment,F,0.00,4.00,2.00,9.00,12.00,432.00,18.00,477.00,23.00,16.00,4.00
VT,Rivendell Interstate School District,5000024,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,51.00,0.00,51.00,39.00,3.00,0.00
VT,Rivendell Interstate School District,5000024,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,3.00,0.00,3.00,3.00,0.00,0.00
VT,Rivendell Interstate School District,5000024,2015,Total enrollment,M,2.00,2.00,0.00,5.00,2.00,246.00,4.00,261.00,48.00,24.00,2.00
VT,Rivendell Interstate School District,5000024,2015,Total enrollment,F,2.00,0.00,2.00,4.00,4.00,228.00,7.00,247.00,20.00,15.00,0.00
VT,Randolph School District,5006720,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,18.00,1.00,19.00,0.00,0.00,0.00
VT,Randolph School District,5006720,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,0.00,0.00
VT,Randolph School District,5006720,2015,Total enrollment,M,0.00,2.00,0.00,5.00,0.00,173.00,5.00,185.00,34.00,2.00,2.00
VT,Randolph School District,5006720,2015,Total enrollment,F,2.00,0.00,2.00,5.00,2.00,122.00,5.00,138.00,13.00,2.00,0.00
VT,Winooski School District,5009360,2015,School days missed due to out-of-school suspension,M,0.00,37.00,0.00,1.00,44.00,77.00,24.00,183.00,37.00,2.00,6.00
VT,Winooski School District,5009360,2015,School days missed due to out-of-school suspension,F,0.00,3.00,0.00,0.00,6.00,88.00,13.00,110.00,17.00,3.00,0.00
VT,Winooski School District,5009360,2015,Total enrollment,M,4.00,99.00,0.00,15.00,93.00,201.00,30.00,442.00,93.00,21.00,126.00
VT,Winooski School District,5009360,2015,Total enrollment,F,4.00,105.00,0.00,12.00,75.00,186.00,39.00,421.00,57.00,18.00,108.00
VT,South Burlington School District,5007470,2015,School days missed due to out-of-school suspension,M,0.00,1.00,0.00,5.00,20.00,126.00,6.00,158.00,22.00,18.00,3.00
VT,South Burlington School District,5007470,2015,School days missed due to out-of-school suspension,F,2.00,0.00,0.00,0.00,2.00,24.00,2.00,30.00,10.00,0.00,1.00
VT,South Burlington School District,5007470,2015,Total enrollment,M,2.00,115.00,0.00,34.00,34.00,916.00,184.00,1285.00,122.00,55.00,49.00
VT,South Burlington School District,5007470,2015,Total enrollment,F,2.00,103.00,2.00,17.00,64.00,907.00,190.00,1285.00,74.00,25.00,52.00
VT,Milton Incorporated School District,5005610,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,25.00,232.00,0.00,257.00,150.00,24.00,4.00
VT,Milton Incorporated School District,5005610,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,7.00,87.00,0.00,94.00,42.00,16.00,0.00
VT,Milton Incorporated School District,5005610,2015,Total enrollment,M,9.00,15.00,0.00,6.00,24.00,810.00,4.00,868.00,165.00,39.00,7.00
