Lea State,LEA,ID,Year,Category,Sex,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
WA,South Bend School District,5308100,2015,School days missed due to out-of-school suspension,M,5.00,0.00,0.00,34.00,0.00,30.00,7.00,76.00,20.00,0.00,0.00
WA,South Bend School District,5308100,2015,School days missed due to out-of-school suspension,F,2.00,1.00,0.00,3.00,0.00,13.00,3.00,22.00,3.00,0.00,0.00
WA,South Bend School District,5308100,2015,Total enrollment,M,10.00,10.00,2.00,129.00,0.00,126.00,45.00,322.00,41.00,0.00,63.00
WA,South Bend School District,5308100,2015,Total enrollment,F,9.00,9.00,2.00,123.00,2.00,153.00,27.00,325.00,27.00,0.00,37.00
WA,East Valley School District (Yakima),5305370,2015,School days missed due to out-of-school suspension,M,18.00,0.00,0.00,683.00,0.00,283.00,21.00,1005.00,97.00,49.00,164.00
WA,East Valley School District (Yakima),5305370,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,52.00,0.00,179.00,0.00,231.00,26.00,10.00,10.00
WA,East Valley School District (Yakima),5305370,2015,Total enrollment,M,22.00,12.00,6.00,757.00,13.00,784.00,37.00,1631.00,218.00,19.00,220.00
WA,East Valley School District (Yakima),5305370,2015,Total enrollment,F,16.00,14.00,2.00,706.00,13.00,709.00,40.00,1500.00,128.00,22.00,193.00
WA,Steilacoom Hist. School District,5308460,2015,School days missed due to out-of-school suspension,M,0.00,2.00,2.00,67.00,52.00,290.00,50.00,463.00,202.00,38.00,8.00
WA,Steilacoom Hist. School District,5308460,2015,School days missed due to out-of-school suspension,F,0.00,5.00,0.00,13.00,9.00,153.00,17.00,197.00,26.00,7.00,0.00
WA,Steilacoom Hist. School District,5308460,2015,Total enrollment,M,11.00,103.00,37.00,268.00,137.00,838.00,264.00,1658.00,235.00,68.00,43.00
WA,Steilacoom Hist. School District,5308460,2015,Total enrollment,F,8.00,130.00,36.00,221.00,105.00,767.00,241.00,1508.00,119.00,32.00,52.00
WA,Longview School District,5304470,2015,School days missed due to out-of-school suspension,M,24.00,8.00,20.00,558.00,89.00,1958.00,305.00,2962.00,935.00,207.00,182.00
WA,Longview School District,5304470,2015,School days missed due to out-of-school suspension,F,3.00,0.00,0.00,121.00,14.00,572.00,51.00,761.00,115.00,53.00,21.00
WA,Longview School District,5304470,2015,Total enrollment,M,26.00,59.00,21.00,701.00,32.00,2363.00,255.00,3457.00,680.00,82.00,217.00
WA,Longview School District,5304470,2015,Total enrollment,F,53.00,57.00,19.00,689.00,43.00,2306.00,227.00,3394.00,353.00,50.00,152.00
WA,Raymond School District,5307140,2015,School days missed due to out-of-school suspension,M,5.00,0.00,0.00,16.00,0.00,46.00,0.00,67.00,12.00,0.00,13.00
WA,Raymond School District,5307140,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,2.00,0.00,14.00,0.00,16.00,0.00,0.00,0.00
WA,Raymond School District,5307140,2015,Total enrollment,M,30.00,19.00,2.00,80.00,2.00,224.00,10.00,367.00,45.00,0.00,43.00
WA,Raymond School District,5307140,2015,Total enrollment,F,30.00,12.00,0.00,91.00,0.00,212.00,11.00,356.00,25.00,2.00,40.00
WA,San Juan Island School District,5307650,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,2.00,0.00,25.00,0.00,27.00,12.00,0.00,1.00
WA,San Juan Island School District,5307650,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,1.00,0.00,0.00
WA,San Juan Island School District,5307650,2015,Total enrollment,M,2.00,6.00,2.00,71.00,2.00,293.00,27.00,403.00,57.00,6.00,18.00
WA,San Juan Island School District,5307650,2015,Total enrollment,F,4.00,9.00,0.00,66.00,6.00,305.00,15.00,405.00,29.00,4.00,11.00
WA,Winlock School District,5309930,2015,School days missed due to out-of-school suspension,M,2.00,0.00,0.00,4.00,0.00,53.00,0.00,59.00,31.00,0.00,1.00
WA,Winlock School District,5309930,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,28.00,0.00,28.00,5.00,16.00,0.00
WA,Winlock School District,5309930,2015,Total enrollment,M,6.00,0.00,0.00,104.00,0.00,263.00,29.00,402.00,91.00,7.00,62.00
WA,Winlock School District,5309930,2015,Total enrollment,F,2.00,4.00,0.00,83.00,2.00,209.00,12.00,312.00,30.00,7.00,36.00
WA,Bethel School District,5300480,2015,School days missed due to out-of-school suspension,M,16.00,16.00,61.00,72.00,148.00,738.00,335.00,1386.00,223.00,0.00,22.00
WA,Bethel School District,5300480,2015,School days missed due to out-of-school suspension,F,15.00,14.00,30.00,36.00,65.00,237.00,124.00,521.00,66.00,0.00,3.00
WA,Bethel School District,5300480,2015,Total enrollment,M,126.00,449.00,335.00,1544.00,800.00,5753.00,1010.00,10017.00,1575.00,226.00,252.00
WA,Bethel School District,5300480,2015,Total enrollment,F,131.00,398.00,298.00,1505.00,729.00,5199.00,931.00,9191.00,767.00,130.00,213.00
WA,Garfield School District #302,5303000,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WA,Garfield School District #302,5303000,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WA,Garfield School District #302,5303000,2015,Total enrollment,M,2.00,0.00,0.00,6.00,0.00,63.00,2.00,73.00,18.00,4.00,0.00
