Lea State,LEA,ID,Year,Category,Sex,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
WI,Black Hawk School District,5505730,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,17.00,0.00,17.00,6.00,0.00,0.00
WI,Black Hawk School District,5505730,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,1.00,8.00,0.00,9.00,0.00,0.00,0.00
WI,Black Hawk School District,5505730,2015,Total enrollment,M,0.00,0.00,0.00,0.00,4.00,207.00,4.00,215.00,39.00,0.00,0.00
WI,Black Hawk School District,5505730,2015,Total enrollment,F,0.00,0.00,0.00,2.00,5.00,174.00,0.00,181.00,20.00,0.00,0.00
WI,Reedsburg School District,5512660,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,14.00,2.00,221.00,0.00,237.00,74.00,3.00,0.00
WI,Reedsburg School District,5512660,2015,School days missed due to out-of-school suspension,F,1.00,0.00,0.00,32.00,8.00,26.00,1.00,68.00,29.00,0.00,0.00
WI,Reedsburg School District,5512660,2015,Total enrollment,M,13.00,13.00,0.00,108.00,10.00,1207.00,32.00,1383.00,251.00,2.00,13.00
WI,Reedsburg School District,5512660,2015,Total enrollment,F,13.00,13.00,0.00,91.00,15.00,1111.00,28.00,1271.00,126.00,2.00,14.00
WI,Wauwatosa School District,5515990,2015,School days missed due to out-of-school suspension,M,1.00,9.00,1.00,7.00,273.00,99.00,29.00,419.00,112.00,0.00,4.00
WI,Wauwatosa School District,5515990,2015,School days missed due to out-of-school suspension,F,2.00,16.00,0.00,9.00,84.00,59.00,11.00,181.00,51.00,1.00,1.00
WI,Wauwatosa School District,5515990,2015,Total enrollment,M,14.00,147.00,14.00,223.00,713.00,2422.00,227.00,3760.00,596.00,24.00,79.00
WI,Wauwatosa School District,5515990,2015,Total enrollment,F,14.00,143.00,11.00,220.00,581.00,2305.00,230.00,3504.00,264.00,10.00,40.00
WI,Manitowoc School District,5508610,2015,School days missed due to out-of-school suspension,M,0.00,5.00,0.00,23.00,36.00,218.00,7.00,289.00,87.00,0.00,15.00
WI,Manitowoc School District,5508610,2015,School days missed due to out-of-school suspension,F,2.00,0.00,0.00,11.00,11.00,112.00,1.00,137.00,21.00,0.00,1.00
WI,Manitowoc School District,5508610,2015,Total enrollment,M,19.00,260.00,2.00,322.00,84.00,1881.00,115.00,2683.00,549.00,20.00,205.00
WI,Manitowoc School District,5508610,2015,Total enrollment,F,10.00,221.00,2.00,280.00,57.00,1723.00,120.00,2413.00,272.00,6.00,161.00
WI,Birchwood School District,5501170,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,0.00,0.00
WI,Birchwood School District,5501170,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WI,Birchwood School District,5501170,2015,Total enrollment,M,4.00,4.00,0.00,8.00,4.00,141.00,4.00,165.00,34.00,0.00,0.00
