Lea State,LEA,ID,Year,Category,Sex,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
WV,CALHOUN COUNTY SCHOOLS,5400210,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,2.00,153.00,0.00,155.00,120.00,10.00,0.00
WV,CALHOUN COUNTY SCHOOLS,5400210,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,92.00,0.00,92.00,50.00,11.00,0.00
WV,CALHOUN COUNTY SCHOOLS,5400210,2015,Total enrollment,M,0.00,0.00,0.00,6.00,2.00,614.00,4.00,626.00,111.00,35.00,0.00
WV,CALHOUN COUNTY SCHOOLS,5400210,2015,Total enrollment,F,0.00,0.00,0.00,4.00,2.00,557.00,4.00,567.00,51.00,16.00,2.00
WV,MARSHALL COUNTY SCHOOLS,5400750,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,11.00,25.00,934.00,21.00,991.00,229.00,0.00,0.00
WV,MARSHALL COUNTY SCHOOLS,5400750,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,329.00,0.00,329.00,25.00,0.00,0.00
WV,MARSHALL COUNTY SCHOOLS,5400750,2015,Total enrollment,M,2.00,6.00,2.00,19.00,17.00,2318.00,38.00,2402.00,389.00,18.00,2.00
WV,MARSHALL COUNTY SCHOOLS,5400750,2015,Total enrollment,F,4.00,6.00,2.00,19.00,14.00,2195.00,40.00,2280.00,197.00,9.00,4.00
WV,BERKELEY COUNTY SCHOOLS,5400060,2015,School days missed due to out-of-school suspension,M,0.00,6.00,0.00,240.00,723.00,2859.00,251.00,4079.00,1277.00,48.00,40.00
WV,BERKELEY COUNTY SCHOOLS,5400060,2015,School days missed due to out-of-school suspension,F,0.00,0.00,8.00,73.00,170.00,708.00,30.00,989.00,152.00,0.00,13.00
WV,BERKELEY COUNTY SCHOOLS,5400060,2015,Total enrollment,M,18.00,77.00,16.00,647.00,909.00,7493.00,635.00,9795.00,1948.00,104.00,230.00
WV,BERKELEY COUNTY SCHOOLS,5400060,2015,Total enrollment,F,30.00,69.00,18.00,629.00,780.00,7286.00,614.00,9426.00,1072.00,45.00,205.00
WV,HAMPSHIRE COUNTY SCHOOLS,5400420,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,170.00,0.00,170.00,0.00,0.00,0.00
WV,HAMPSHIRE COUNTY SCHOOLS,5400420,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,3.00,0.00,72.00,0.00,75.00,0.00,0.00,0.00
WV,HAMPSHIRE COUNTY SCHOOLS,5400420,2015,Total enrollment,M,2.00,0.00,2.00,28.00,19.00,1674.00,24.00,1749.00,441.00,48.00,8.00
WV,HAMPSHIRE COUNTY SCHOOLS,5400420,2015,Total enrollment,F,2.00,2.00,0.00,22.00,18.00,1539.00,25.00,1608.00,219.00,34.00,2.00
WV,PRESTON COUNTY SCHOOLS,5401170,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,469.00,0.00,469.00,147.00,0.00,0.00
WV,PRESTON COUNTY SCHOOLS,5401170,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,163.00,0.00,163.00,45.00,0.00,0.00
WV,PRESTON COUNTY SCHOOLS,5401170,2015,Total enrollment,M,2.00,2.00,0.00,20.00,24.00,2251.00,12.00,2311.00,539.00,25.00,6.00
WV,PRESTON COUNTY SCHOOLS,5401170,2015,Total enrollment,F,0.00,4.00,0.00,12.00,15.00,2119.00,12.00,2162.00,320.00,46.00,0.00
WV,MONROE COUNTY SCHOOLS,5400960,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,2.00,294.00,2.00,298.00,89.00,0.00,0.00
WV,MONROE COUNTY SCHOOLS,5400960,2015,School days missed due to out-of-school suspension,F,0.00,1.00,0.00,0.00,0.00,135.00,0.00,136.00,47.00,0.00,0.00
