Lea State,LEA,ID,Year,Category,Sex,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
WY,Carbon County School District #1,5601030,2015,School days missed due to out-of-school suspension,M,1.00,0.00,0.00,58.00,0.00,90.00,1.00,150.00,47.00,0.00,0.00
WY,Carbon County School District #1,5601030,2015,School days missed due to out-of-school suspension,F,7.00,13.00,0.00,30.00,0.00,24.00,0.00,74.00,15.00,0.00,0.00
WY,Carbon County School District #1,5601030,2015,Total enrollment,M,22.00,24.00,2.00,334.00,19.00,595.00,2.00,998.00,164.00,17.00,50.00
WY,Carbon County School District #1,5601030,2015,Total enrollment,F,20.00,6.00,2.00,283.00,23.00,553.00,0.00,887.00,79.00,7.00,37.00
WY,Platte County School District #2,5603180,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,21.00,0.00,21.00,8.00,0.00,0.00
WY,Platte County School District #2,5603180,2015,School days missed due to out-of-school suspension,F,0.00,0.00,3.00,0.00,0.00,3.00,0.00,6.00,0.00,0.00,0.00
WY,Platte County School District #2,5603180,2015,Total enrollment,M,2.00,2.00,2.00,9.00,2.00,105.00,2.00,124.00,14.00,7.00,0.00
WY,Platte County School District #2,5603180,2015,Total enrollment,F,2.00,0.00,2.00,12.00,2.00,111.00,2.00,131.00,12.00,2.00,0.00
WY,Laramie County School District #1,5601980,2015,School days missed due to out-of-school suspension,M,35.00,9.00,8.00,494.00,66.00,1068.00,19.00,1699.00,605.00,0.00,11.00
WY,Laramie County School District #1,5601980,2015,School days missed due to out-of-school suspension,F,3.00,12.00,0.00,208.00,7.00,247.00,2.00,479.00,106.00,0.00,0.00
WY,Laramie County School District #1,5601980,2015,Total enrollment,M,69.00,80.00,16.00,1457.00,194.00,4773.00,238.00,6827.00,1078.00,60.00,129.00
WY,Laramie County School District #1,5601980,2015,Total enrollment,F,67.00,97.00,15.00,1385.00,164.00,4705.00,253.00,6686.00,568.00,42.00,120.00
WY,Sheridan County School District #1,5605690,2015,School days missed due to out-of-school suspension,M,4.00,0.00,0.00,0.00,0.00,19.00,2.00,25.00,15.00,0.00,0.00
WY,Sheridan County School District #1,5605690,2015,School days missed due to out-of-school suspension,F,1.00,0.00,0.00,0.00,0.00,10.00,0.00,11.00,0.00,0.00,0.00
WY,Sheridan County School District #1,5605690,2015,Total enrollment,M,15.00,0.00,0.00,13.00,2.00,454.00,9.00,493.00,72.00,10.00,0.00
WY,Sheridan County School District #1,5605690,2015,Total enrollment,F,14.00,2.00,0.00,10.00,2.00,429.00,8.00,465.00,29.00,8.00,0.00
WY,Uinta County School District #6,5604260,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,3.00,0.00,3.00,2.00,0.00,0.00
WY,Uinta County School District #6,5604260,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,7.00,0.00,7.00,7.00,0.00,0.00
WY,Uinta County School District #6,5604260,2015,Total enrollment,M,6.00,2.00,4.00,15.00,5.00,387.00,21.00,440.00,81.00,2.00,4.00
WY,Uinta County School District #6,5604260,2015,Total enrollment,F,4.00,0.00,4.00,10.00,2.00,354.00,15.00,389.00,39.00,2.00,4.00
WY,Washakie County School District #1,5606240,2015,School days missed due to out-of-school suspension,M,1.00,0.00,0.00,3.00,0.00,20.00,0.00,24.00,0.00,0.00,2.00
WY,Washakie County School District #1,5606240,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,2.00,0.00,4.00,0.00,6.00,0.00,0.00,0.00
WY,Washakie County School District #1,5606240,2015,Total enrollment,M,6.00,4.00,0.00,172.00,0.00,481.00,11.00,674.00,51.00,4.00,13.00
WY,Washakie County School District #1,5606240,2015,Total enrollment,F,2.00,2.00,0.00,166.00,0.00,499.00,16.00,685.00,28.00,2.00,9.00
WY,Big Horn County School District #3,5603170,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,35.00,0.00,35.00,22.00,0.00,0.00
WY,Big Horn County School District #3,5603170,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,5.00,0.00,5.00,0.00,0.00,0.00
WY,Big Horn County School District #3,5603170,2015,Total enrollment,M,0.00,0.00,0.00,51.00,2.00,204.00,0.00,257.00,69.00,12.00,24.00
WY,Big Horn County School District #3,5603170,2015,Total enrollment,F,4.00,2.00,0.00,54.00,0.00,207.00,0.00,267.00,23.00,7.00,21.00
WY,Laramie County School District #2,5604120,2015,School days missed due to out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,25.00,0.00,25.00,4.00,0.00,0.00
WY,Laramie County School District #2,5604120,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,5.00,0.00,5.00,0.00,0.00,0.00
WY,Laramie County School District #2,5604120,2015,Total enrollment,M,6.00,6.00,0.00,69.00,4.00,414.00,0.00,499.00,105.00,9.00,18.00
WY,Laramie County School District #2,5604120,2015,Total enrollment,F,6.00,8.00,0.00,78.00,10.00,375.00,0.00,477.00,60.00,2.00,22.00
WY,Fremont County School District # 2,5602670,2015,School days missed due to out-of-school suspension,M,8.00,0.00,0.00,0.00,0.00,26.00,0.00,34.00,3.00,0.00,0.00
WY,Fremont County School District # 2,5602670,2015,School days missed due to out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WY,Fremont County School District # 2,5602670,2015,Total enrollment,M,6.00,0.00,0.00,2.00,0.00,60.00,0.00,68.00,14.00,2.00,0.00
WY,Fremont County School District # 2,5602670,2015,Total enrollment,F,4.00,0.00,0.00,0.00,0.00,75.00,0.00,79.00,4.00,2.00,0.00
